,Dates,S&P500 Weekly Return,S&P500 Cumulative Return,+0 Weekly Return,+0 Cumulative Return,+1 Weekly Return,+1 Cumulative Return
0,2020-11-30,0.019416593813946337,0.019416593813946337,0.15342437769015857,0.15342437769015857,0.0,0.0
1,2020-12-07,-0.012002437442919733,0.007414156371026603,-0.020583197962795233,0.13284117972736334,-0.0935868670052551,-0.0935868670052551
2,2020-12-14,0.013075263608416376,0.02048941997944298,0.04958055785040764,0.18242173757777097,-0.0252943940245158,-0.11888126102977091
3,2020-12-21,0.011716475959631989,0.03220589593907497,0.06937351366307555,0.2517952512408465,-0.024694515202362433,-0.14357577623213336
4,2020-12-28,-0.009081878495319162,0.023124017443755807,-0.1331789653483856,0.1186162858924609,-0.03283537718224275,-0.1764111534143761
5,2021-01-04,0.026844473200640095,0.0499684906443959,0.12568451779531195,0.24430080368777285,0.13274209060620984,-0.043669062808166265
6,2021-01-11,-0.007895599444767587,0.042072891199628315,0.2539809731926192,0.49828177688039205,0.2625371055793929,0.21886804277122665
7,2021-01-18,0.015159107992984255,0.05723199919261257,0.5982161466409366,1.0964979235213286,0.4421854608281923,0.661053503599419
8,2021-01-25,-0.02122839391108755,0.03600360528152502,0.39004437581620816,1.4865422993375368,0.42485492700679717,1.0859084306062161
9,2021-02-01,0.03795536034700908,0.0739589656285341,0.4417469991642585,1.9282892985017952,0.20943464394135455,1.2953430745475707
10,2021-02-08,0.005454348920109764,0.07941331454864387,0.11892270416204241,2.0472120026638376,0.014497642480576703,1.3098407170281474
11,2021-02-15,-0.013433616692444805,0.06597969785619906,-0.0632218928010497,1.983990109862788,-0.12952239090571013,1.1803183261224373
12,2021-02-22,0.006588618108084754,0.07256831596428381,0.13013486029468785,2.1141249701574756,0.4622613664275369,1.6425796925499743
13,2021-03-01,-0.020175458789331135,0.05239285717495268,0.04216066629593645,2.156285636453412,-0.0348313522618995,1.6077483402880748
14,2021-03-08,0.03848363326186077,0.09087649043681345,0.20276713571483312,2.3590527721682455,0.23181633519902928,1.839564675487104
15,2021-03-15,-0.006392851439690483,0.08448363899712297,-0.07264806196536906,2.2864047102028766,-0.09018923653900598,1.749375438948098
16,2021-03-22,0.00812562457092647,0.09260926356804944,0.0,2.2864047102028766,-0.07489866559950553,1.6744767733485926
17,2021-03-29,0.026731903255998946,0.11934116682404838,0.09039729267084914,2.376802002873726,0.0,1.6744767733485926
18,2021-04-05,0.012993456508682666,0.13233462333273105,-0.058828364066918694,2.3179736388068073,-0.0895103345590881,1.5849664387895044
19,2021-04-12,0.008672548904205213,0.14100717223693626,0.13415038859128395,2.4521240273980913,-0.01854032024126037,1.566426118548244
20,2021-04-19,0.005780142565269264,0.14678731480220553,0.4997368933676784,2.95186092076577,0.021554346731116874,1.5879804652793608
21,2021-04-26,0.001412853780852652,0.14820016858305818,-0.13176457294680194,2.820096347818968,-0.1818306790972527,1.406149786182108
22,2021-05-03,-0.0006218487444507037,0.14757831983860747,-0.07922951329895331,2.7408668345200145,-0.050249764187900635,1.3559000219942072
23,2021-05-10,-0.005790397820751858,0.14178792201785562,0.2046423004190221,2.9455091349390363,0.07370700661700627,1.4296070286112135
24,2021-05-17,0.00878421448090938,0.150572136498765,0.12456098692082207,3.0700701218598585,0.010872211883420826,1.4404792404946343
25,2021-05-24,0.0020754349725353727,0.15264757147130037,0.36805833400059906,3.4381284558604577,0.2973899437167608,1.7378691842113951
26,2021-05-31,0.006004716165595392,0.15865228763689576,0.30488291645014876,3.7430113723106064,0.35160404126147077,2.089473225472866
27,2021-06-07,0.007271563651570556,0.16592385128846632,0.10771608648075674,3.850727458791363,-0.010412731767393112,2.079060493705473
28,2021-06-14,-0.007108898078396209,0.1588149532100701,-0.06737328803578743,3.7833541707555756,-0.08080942487359352,1.9982510688318795
29,2021-06-21,0.015705941362947673,0.17452089457301778,0.1275038855114451,3.9108580562670205,0.053674573661259835,2.0519256424931394
30,2021-06-28,0.014620889031641715,0.1891417836046595,0.04726147417898922,3.9581195304460097,-0.09337346900484361,1.9585521734882958
31,2021-07-05,0.009585890441289102,0.1987276740459486,0.05142854731102745,4.009548077757037,-0.0721501683962077,1.886402005092088
32,2021-07-12,-0.027706566869941995,0.1710211071760066,-0.14560080319138732,3.86394727456565,-0.18525255374805125,1.7011494513440368
33,2021-07-19,0.03776733253804787,0.20878843971405447,-0.0208546142175417,3.843092660348108,0.02595079333119388,1.7271002446752308
34,2021-07-26,-0.007777419089219362,0.2010110206248351,0.1364628843692776,3.979555544717386,0.0651826499957434,1.7922828946709741
35,2021-08-02,0.010374974750965604,0.21138599537580072,-0.024719283015219348,3.9548362617021664,0.0057637291542915,1.7980466238252657
36,2021-08-09,0.010947063666870926,0.22233305904267164,0.038156691074456434,3.992992952776623,0.02749380818019655,1.8255404320054622
37,2021-08-16,0.0006487985747465341,0.22298185761741818,-0.01630896899441527,3.9766839837822077,-0.0116040311480473,1.813936400857415
38,2021-08-23,0.01111213537586675,0.23409399299328493,0.463345845407172,4.440029829189379,0.01802987717991097,1.831966278037326
39,2021-08-30,0.001879598109627123,0.23597359110291205,0.11535298120435658,4.555382810393736,0.023080834054489203,1.8550471120918153
40,2021-09-06,-0.010809296738326424,0.22516429436458563,0.2074605300442198,4.762843340437955,-0.06269352385432553,1.7923535882374897
41,2021-09-13,-0.02496640176778131,0.20019789259680432,0.0668987666468632,4.829742107084819,-0.16805328427553246,1.6243003039619572
42,2021-09-20,0.019813897436150807,0.22001179003295512,0.05933677760461132,4.88907888468943,-0.07145318251011634,1.552847121451841
43,2021-09-27,-0.03162841438864328,0.18838337564431185,-0.07513315140267643,4.8139457332867535,-0.14904340406070699,1.403803717391134
44,2021-10-04,0.014114382714025098,0.20249775835833694,-0.0170300827710253,4.796915650515728,-0.08444482196429258,1.3193588954268414
45,2021-10-11,0.028756123602451833,0.23125388196078878,0.111396028941463,4.90831167945719,-0.03737397448841885,1.2819849209384224
46,2021-10-18,0.01869448490061898,0.24994836686140776,1.265820934510552,6.174132613967743,0.05633710795394914,1.3383220288923716
47,2021-10-25,0.00985626951486096,0.2598046363762687,-0.0863944518005031,6.0877381621672395,-0.04959938655785371,1.288722642334518
48,2021-11-01,0.01932436131556936,0.2791289976918381,0.11630378900582794,6.204041951173068,0.038520304709780705,1.3272429470442986
49,2021-11-08,-0.0031987768107358816,0.2759302208811022,0.001977307958242798,6.206019259131311,-0.05424505325778464,1.2729978937865138
50,2021-11-15,0.00029954551240929383,0.2762297663935115,-0.2084942006749915,5.997525058456319,-0.012981955153843032,1.2600159386326708
51,2021-11-22,-0.006351973889968332,0.26987779250354316,-0.0341463096931808,5.963378748763138,-0.0341463096931808,1.22586962893949
